"month","Prevalencia_real","Soporte","Sensibilidad","Especificidad","Precision"
"may",0.0629893238434164,2810,0.31638418079096,0.914546145081656,0.199288256227758
"jul",0.086013986013986,1430,0.32520325203252,0.959449120122418,0.43010752688172
"aug",0.120331950207469,1205,0.613793103448276,0.884905660377359,0.421800947867299
"jun",0.11736641221374,1048,0.59349593495935,0.884324324324324,0.405555555555556
"nov",0.0944309927360775,826,0.576923076923077,0.901069518716578,0.378151260504202
"apr",0.179337231968811,513,0.91304347826087,0.296912114014252,0.221052631578947
"oct",0.432258064516129,155,1,0,0.432258064516129
"sep",0.466101694915254,118,1,0,0.466101694915254
"mar",0.516129032258065,93,1,0.0222222222222222,0.521739130434783
"dec",0.527777777777778,36,1,0.0588235294117647,0.542857142857143
